customer_id,birth_year,marital_status,num_children,highest_education,occupation_category,tax_bracket,health_score,annual_salary,has_loan,has_insurance
96,1996,Single,0,Bachelor,White Collar,32,82,50569.32,False,True
97,1985,Married,1,Associate,White Collar,32,87,73536.38,False,False
98,1992,Married,0,Master,White Collar,24,76,49075.13,True,True
99,1986,Divorced,0,High School,Blue Collar,12,61,45575.55,True,False
100,1985,Married,2,High School,Blue Collar,10,65,48184.15,False,True
101,1999,Single,0,High School,Executive,24,77,201768.31,True,False
102,1977,Married,3,High School,White Collar,32,83,51512.2,False,False
103,1946,Widowed,4,Associate,Retired,12,67,462.26,False,True
104,1951,Widowed,4,High School,Retired,0,82,4225.24,False,False
105,1991,Married,2,High School,Blue Collar,12,96,51202.56,False,False
106,1975,Married,1,Doctorate,Professional,22,66,157487.92,True,False
107,2004,Single,0,High School,Student,0,100,9309.28,False,False
108,2007,Married,1,High School,Student,0,65,11016.37,False,True
109,1951,Widowed,1,Bachelor,Retired,0,88,3318.41,False,True
110,2007,Single,0,Bachelor,Student,0,81,9581.03,False,False
111,2007,Single,0,High School,Student,10,79,14701.3,False,False
112,1998,Married,0,Master,Professional,32,79,164239.56,False,False
113,1953,Married,2,Associate,Retired,10,62,671.58,False,True
114,1958,Divorced,5,High School,Retired,0,86,837.49,False,False
115,1959,Divorced,1,High School,Retired,0,64,1547.32,False,True
116,2001,Single,0,Master,Executive,35,74,214306.76,True,True
117,1970,Married,2,High School,White Collar,22,60,57629.43,True,True
118,1992,Single,0,Master,Professional,35,71,141809.15,True,True
119,2000,Single,1,High School,Professional,24,72,102914.86,True,False
120,1999,Single,0,High School,Executive,24,72,143952.99,True,False
121,2004,Single,0,Bachelor,Student,0,79,10809.87,False,False
122,1971,Married,4,Doctorate,Professional,24,63,128418.78,False,True
123,1981,Married,2,High School,Professional,24,92,106350.88,False,False
124,1985,Married,1,High School,Blue Collar,10,75,52921.45,False,False
125,1967,Divorced,4,Bachelor,White Collar,12,77,48233.37,True,True
126,1997,Single,0,Associate,Executive,32,88,235792.07,False,False
127,1963,Divorced,0,High School,Blue Collar,12,92,30934.16,True,False
128,1959,Married,5,High School,Retired,0,80,3089.87,False,True
129,1946,Married,2,Master,Retired,10,66,1317.11,False,True
130,2006,Single,0,High School,Student,10,70,10696.01,False,False
131,1992,Single,1,High School,White Collar,12,81,57730.27,True,False
132,1940,Married,3,High School,Retired,0,78,3190.79,False,True
133,1964,Married,0,High School,Professional,22,74,69392.15,False,True
134,2002,Single,0,Associate,Self-Employed,12,81,67679.79,False,False
135,1999,Married,1,High School,Blue Collar,12,81,42270.89,False,True
136,1952,Widowed,0,Associate,Retired,12,51,2934.51,False,False
137,1971,Divorced,2,Associate,Executive,24,75,136383.47,True,True
138,1980,Married,2,High School,Blue Collar,10,83,30557.61,True,True
139,1993,Single,0,Master,Executive,37,78,256082.92,True,True
140,1959,Married,1,Associate,Retired,0,83,1633.94,False,True
141,1998,Single,0,High School,Executive,32,91,141530.02,True,False
142,1985,Married,0,High School,Professional,24,71,88424.09,False,False
143,2005,Single,0,Associate,Student,0,85,12796.88,False,False
144,1985,Married,1,Bachelor,Executive,32,77,268321.39,False,False
145,1995,Single,0,Bachelor,Self-Employed,32,58,106933.73,False,True
146,1952,Widowed,2,Bachelor,Retired,10,68,3726.24,False,True
147,1951,Widowed,2,High School,Retired,0,59,2585.91,True,True
148,2005,Single,1,Master,Student,12,82,12717.92,False,True
149,1970,Divorced,2,High School,Self-Employed,22,80,116787.69,False,False
150,2006,Married,2,High School,Student,0,79,8568.92,False,True
151,2005,Single,0,Associate,Student,12,71,14343.36,False,False
152,1975,Married,2,High School,White Collar,22,77,50330.84,False,True
153,1974,Divorced,4,Associate,White Collar,24,99,67530.05,True,True
154,1970,Widowed,4,High School,Blue Collar,10,52,54524.43,False,True
155,2006,Single,0,Bachelor,Student,0,83,15285.65,False,True
156,1997,Single,0,Bachelor,White Collar,32,73,81406.19,False,False
157,1970,Married,1,Associate,Professional,22,69,133995.49,True,True
158,2004,Single,1,Associate,Student,10,79,11735.38,False,True
159,1952,Married,2,High School,Retired,10,66,1670.47,False,True
160,1989,Single,1,Master,White Collar,22,83,72890.38,False,True
161,1993,Single,0,Bachelor,Executive,37,76,172771.12,True,False
162,2003,Single,1,Associate,Blue Collar,22,58,42955.39,False,True
163,1974,Divorced,1,High School,Blue Collar,22,87,31423.49,False,True
164,1968,Married,4,High School,Blue Collar,12,84,52098.43,True,True
165,1962,Divorced,3,High School,Blue Collar,12,66,40683.64,True,False
166,1953,Widowed,2,Associate,Retired,0,71,276.81,False,True
167,1986,Married,1,Master,White Collar,12,89,79677.55,False,True
168,1990,Married,1,Doctorate,Professional,35,88,160041.51,False,True
169,1985,Married,2,Associate,White Collar,32,90,78187.7,True,True
170,1961,Widowed,1,High School,Executive,24,75,138368.32,False,True
171,1990,Married,1,Bachelor,White Collar,22,85,71752.34,False,False
172,1982,Married,3,Associate,Professional,35,90,93792.36,False,True
173,1979,Married,1,Bachelor,Professional,24,72,142363.81,True,True
174,1996,Single,1,Bachelor,Blue Collar,10,83,56792.25,False,False
175,1996,Single,0,High School,Blue Collar,10,57,30066.93,False,False
176,1996,Married,0,High School,Executive,35,63,157059.33,False,True
177,2007,Single,0,High School,Student,12,86,8719.68,False,False
178,2005,Single,1,Associate,Student,0,87,11330.89,False,True
179,1982,Single,1,High School,Professional,24,72,70360.44,True,True
180,1988,Married,2,High School,Blue Collar,22,71,49136.22,True,False
181,1960,Divorced,2,High School,Professional,32,68,85171.38,False,True
182,2004,Single,2,Bachelor,Student,12,82,12914.05,False,False
183,1992,Single,0,Master,White Collar,24,55,83645.66,False,True
184,1952,Married,3,Master,Retired,0,75,3632.85,False,False
185,1967,Divorced,2,Bachelor,Blue Collar,22,73,40145.47,True,True
186,1983,Divorced,2,High School,Blue Collar,12,79,49134.72,True,True
187,1993,Single,0,High School,Professional,24,77,114853.03,True,True
188,1956,Married,0,High School,Retired,0,57,927.23,False,True
189,1999,Married,0,Associate,White Collar,22,68,43228.58,False,True
190,1968,Divorced,1,Bachelor,Professional,22,88,135224.57,False,True
191,1976,Single,1,High School,Blue Collar,22,68,32472.48,False,False
192,1976,Married,2,Master,Blue Collar,10,83,37248.71,True,True
193,1990,Divorced,2,Associate,Blue Collar,10,67,41318.64,True,True
194,1962,Married,1,Associate,White Collar,32,72,68605.33,False,True
195,1997,Single,0,Bachelor,Executive,35,74,234696.2,True,False
196,1974,Married,3,Bachelor,Professional,32,71,138450.75,True,True
197,1986,Married,1,Bachelor,White Collar,24,73,55875.27,False,False
198,1964,Divorced,0,Bachelor,Blue Collar,10,87,47260.89,False,False
199,1987,Married,1,Bachelor,White Collar,12,96,62276.74,False,False
200,1959,Married,1,Bachelor,Retired,10,74,4578.69,False,True
201,2000,Married,2,High School,Executive,37,75,194068.05,True,False
202,2000,Married,1,High School,White Collar,22,66,64249.36,False,True
203,1956,Married,3,Bachelor,Retired,0,57,4278.25,False,True
204,1972,Widowed,5,Bachelor,Executive,32,88,267621.48,False,False
205,2004,Single,0,Associate,Student,0,66,8529.7,False,True
206,1941,Married,1,High School,Retired,0,63,987.95,False,True
207,2005,Single,0,High School,Student,0,82,12299.72,False,False
208,1985,Married,1,Associate,White Collar,22,50,42151.81,True,False
209,1937,Widowed,1,Master,Retired,0,54,1619.4,False,True
210,1974,Married,4,High School,Professional,24,61,83741.97,False,True
211,1994,Single,1,High School,Professional,24,72,106643.4,False,True
212,1989,Married,3,High School,Professional,24,80,111811.92,False,False
213,2004,Single,0,Associate,Student,0,91,9789.26,False,False
214,1981,Married,3,High School,White Collar,22,69,61455.47,False,True
215,1976,Married,1,Bachelor,White Collar,12,70,61455.93,True,False
216,1990,Divorced,1,High School,White Collar,32,76,79638.47,False,True
217,1951,Widowed,4,High School,Retired,0,62,276.69,False,True
218,1973,Widowed,5,High School,Self-Employed,24,78,106458.24,False,True
219,1980,Married,2,High School,White Collar,22,80,79979.24,False,True
220,1977,Married,2,Master,Executive,35,48,228488.31,True,True
221,1971,Divorced,0,Master,Self-Employed,24,80,111418.4,False,False
222,1981,Married,3,Bachelor,Professional,22,77,86851.94,False,True
223,1954,Widowed,1,Bachelor,Retired,0,73,1640.09,False,True
224,1972,Widowed,2,High School,White Collar,12,86,47259.59,False,False
225,1986,Single,0,Master,White Collar,22,59,75999.4,False,True
226,1994,Married,3,Associate,Professional,35,66,142743.56,True,True
227,1976,Married,4,Bachelor,Executive,35,74,136231.89,True,True
228,1973,Divorced,3,Bachelor,Self-Employed,24,51,84730.71,True,True
229,1954,Widowed,3,High School,Retired,0,68,3075.12,True,True
230,1989,Divorced,1,High School,Blue Collar,12,86,39626.74,True,True
231,1956,Married,4,High School,Retired,10,75,2290.2,False,True
232,1944,Widowed,1,High School,Retired,0,69,1925.14,False,True
233,1946,Widowed,1,High School,Retired,0,66,2539.33,False,True
234,1937,Widowed,3,Master,Retired,0,63,349.75,False,True
235,2002,Married,2,High School,Self-Employed,22,75,81477.55,False,False
236,1993,Married,1,Bachelor,White Collar,32,80,66518.33,False,False
237,1973,Divorced,1,Bachelor,Professional,22,59,91002.84,False,True
238,2002,Married,2,High School,Blue Collar,10,95,42438.27,False,True
239,1977,Single,0,Associate,Blue Collar,10,68,42530.28,False,False
240,2003,Single,0,Associate,Professional,22,86,117098.49,False,True
241,2001,Single,0,Associate,White Collar,22,81,65680.67,False,False
242,1971,Married,1,High School,Self-Employed,12,62,69390.02,False,True
243,1979,Married,2,High School,White Collar,12,88,71245.39,False,True
244,2001,Single,0,High School,Executive,24,91,166469.28,False,False
245,2003,Single,0,Bachelor,White Collar,24,64,64879.64,False,False
246,1995,Divorced,1,Master,White Collar,22,78,68467.69,True,True
247,1946,Married,2,High School,Retired,10,71,2064.96,False,True
248,1941,Widowed,3,Associate,Retired,0,47,3570.82,False,True
249,1969,Divorced,3,Master,White Collar,22,52,82063.75,False,True
250,1939,Widowed,3,High School,Retired,12,59,179.51,False,True
251,1989,Married,2,High School,Professional,22,64,104620.49,True,True
252,1955,Widowed,2,High School,Retired,0,60,530.2,False,True
253,2003,Single,0,High School,Executive,32,67,214814.58,False,False
254,1976,Married,3,Master,Blue Collar,10,73,65568.9,True,True
255,1991,Single,1,Master,Professional,24,69,135979.37,False,True
256,1977,Married,0,Bachelor,White Collar,22,86,60713.9,False,False
257,1991,Single,0,Associate,Professional,24,80,78815.1,True,False
258,1996,Married,1,Bachelor,Professional,24,87,102607.83,True,True
259,1998,Single,0,High School,Executive,32,62,188287.9,True,False
260,1968,Married,3,High School,White Collar,22,67,75234.34,True,False
261,1971,Married,1,High School,Blue Collar,22,75,41850.82,True,True
262,1972,Married,4,Master,White Collar,24,78,95252.71,False,True
263,1982,Married,2,Bachelor,Executive,32,69,184790.81,True,True
264,1964,Married,3,Associate,White Collar,12,67,35717.54,True,True
265,1991,Married,1,Bachelor,White Collar,24,74,71659.51,True,True
266,1971,Divorced,1,High School,Professional,22,71,85339.74,False,False
267,1970,Divorced,3,High School,Professional,35,95,87064.92,True,True
268,2002,Single,0,Bachelor,White Collar,24,83,44766.6,False,False
269,1959,Married,5,Master,Retired,0,72,2710.51,False,True
270,2000,Single,0,Associate,Blue Collar,22,67,36416.85,True,True
271,1966,Married,4,High School,Professional,22,60,139600.32,False,True
272,1975,Married,3,Doctorate,Executive,24,72,297226.04,True,True
273,2004,Single,0,High School,Student,12,92,13048.33,False,False
274,2005,Single,0,High School,Student,10,79,10477.24,False,True
275,1944,Widowed,5,High School,Retired,0,67,304.29,False,False
276,1973,Married,1,High School,White Collar,24,67,66757.71,True,True
277,1994,Single,0,Bachelor,White Collar,12,61,44981.27,False,True
278,1968,Divorced,3,Associate,White Collar,24,77,60547.24,True,True
279,1971,Married,5,High School,Professional,35,71,73693.92,True,False
280,2000,Married,0,High School,White Collar,24,84,62388.31,False,True
281,1971,Widowed,2,Bachelor,White Collar,22,75,68619.84,False,True
282,1984,Divorced,3,Associate,White Collar,22,67,64285.86,True,True
283,1964,Married,1,High School,Self-Employed,32,75,81378.92,True,False
284,1973,Married,4,High School,White Collar,12,61,49126.21,False,False
285,1992,Married,1,Master,Professional,35,80,104342.15,True,False
286,1988,Single,0,Doctorate,Professional,24,76,128870.86,False,True
287,2000,Married,1,High School,Professional,22,95,119193.94,False,False
288,1988,Married,1,Bachelor,Executive,32,68,148695.6,True,True
289,1964,Married,1,Bachelor,Self-Employed,22,59,103130.93,True,True
290,1954,Widowed,1,High School,Retired,0,66,1071.9,False,False
291,1971,Married,2,Master,Professional,24,80,94742.5,False,True
292,1976,Married,3,Associate,White Collar,32,47,67156.92,True,False
293,1979,Divorced,3,Bachelor,White Collar,12,84,56125.61,True,True
294,1941,Widowed,2,Associate,Retired,10,66,1824.1,False,False
295,1976,Single,1,High School,Professional,24,63,74278.02,False,True
296,1965,Widowed,3,Bachelor,Professional,24,69,95881.9,False,True
297,1977,Married,2,Bachelor,White Collar,22,67,57362.59,False,True
298,1962,Married,0,High School,White Collar,24,60,39773.95,False,True
299,1998,Married,1,Associate,Blue Collar,12,60,40352.02,True,True
300,1979,Married,3,Master,Professional,24,83,148685.64,True,True
301,1952,Widowed,1,Bachelor,Retired,0,64,3570.06,False,False
302,1967,Divorced,2,Associate,White Collar,22,69,57140.41,False,False
303,1997,Married,0,High School,White Collar,12,87,78969.44,True,False
304,1981,Divorced,2,Associate,Blue Collar,12,76,32968.87,False,True
305,2001,Married,1,High School,Blue Collar,12,64,51078.27,False,True
306,2000,Single,0,Bachelor,White Collar,24,86,87073.89,True,True
307,2000,Married,3,Bachelor,Professional,24,94,121117.91,True,True
308,1975,Divorced,4,Master,Professional,24,80,89051.24,True,False
309,1985,Single,0,High School,White Collar,12,68,76841.57,False,True
310,1957,Divorced,2,Master,Retired,10,56,2228.5,False,True
311,1995,Married,1,Master,Professional,35,69,98438.64,True,True
312,1970,Widowed,3,Associate,Executive,32,75,247679.24,True,False
313,1979,Married,1,Master,Executive,24,90,210593.19,False,True
314,2003,Single,0,Associate,Professional,24,73,110204.96,False,False
315,1962,Married,2,High School,Professional,22,65,93475.72,False,True
316,1965,Divorced,1,High School,Professional,24,83,113442.75,False,True
317,1974,Divorced,0,High School,Professional,22,70,105262.47,False,False
318,2003,Single,1,High School,Blue Collar,12,97,51981.52,True,True
319,1969,Married,2,Associate,White Collar,24,72,49149.66,True,True
320,1985,Married,3,Associate,Blue Collar,10,88,46883.59,False,True
321,2000,Single,0,High School,Executive,32,83,188315.49,False,False
322,1992,Single,1,High School,Professional,24,85,92752.68,False,False
323,1980,Married,3,Bachelor,Self-Employed,22,74,58371.47,False,False
324,1978,Divorced,2,Master,White Collar,22,74,51357.12,False,True
325,1969,Married,2,High School,White Collar,24,77,50469.4,True,True
326,1991,Divorced,0,Bachelor,Professional,32,86,129405.33,False,False
327,1997,Single,1,Master,Executive,32,84,187400.58,True,True
328,1969,Divorced,2,Bachelor,Executive,24,56,236119.5,False,True
329,1999,Single,0,Bachelor,White Collar,22,82,82506.71,False,False
330,1980,Single,0,Bachelor,Self-Employed,24,69,103417.55,False,True
331,1997,Married,0,Master,Self-Employed,24,73,124117.06,True,False
332,1968,Divorced,3,High School,Self-Employed,24,78,83722.53,True,False
333,2000,Married,1,Bachelor,Professional,32,96,149888.59,True,False
334,2003,Single,0,Associate,Executive,24,78,230141.53,False,True
335,1998,Single,0,High School,Blue Collar,24,99,36712.25,True,True
336,1966,Married,3,Bachelor,White Collar,32,62,75827.37,True,True
337,1939,Married,1,Bachelor,Retired,0,80,3140.94,False,False
338,1977,Married,1,Master,Blue Collar,10,79,57945.98,True,True
339,1970,Married,2,Master,Professional,32,76,110826.44,False,True
340,1975,Divorced,0,Bachelor,Self-Employed,22,88,86145.89,False,False
341,1998,Single,0,Associate,Professional,22,73,138208.32,False,False
342,1974,Divorced,0,Master,Professional,24,87,165960.0,False,False
343,1962,Divorced,1,High School,Professional,24,70,80916.28,False,True
344,1970,Divorced,2,High School,Professional,32,67,104069.26,True,True
345,1981,Single,1,Associate,White Collar,24,62,55894.64,False,False
346,1976,Divorced,2,Bachelor,Professional,35,91,132281.32,True,True
347,1979,Married,3,Bachelor,Professional,24,87,79986.73,True,True
348,1974,Widowed,2,Master,Professional,32,70,164120.26,False,True
349,1986,Married,0,High School,Executive,24,82,191417.84,True,False
350,1973,Divorced,1,Master,Professional,24,75,106759.66,False,True
351,2002,Single,1,Associate,White Collar,32,76,43566.2,False,False
352,1994,Single,0,Master,Professional,32,88,131102.39,True,False
353,1977,Married,3,Associate,Self-Employed,24,69,89066.28,True,True
354,1979,Married,1,Bachelor,White Collar,12,53,74590.78,True,False
355,1984,Married,4,Bachelor,Executive,24,79,207131.52,True,True
356,1986,Divorced,2,Bachelor,Professional,32,77,116709.25,True,False
357,2004,Single,0,High School,Student,0,74,10128.91,False,False
358,2005,Single,0,High School,Student,0,72,9358.26,False,True
359,1966,Divorced,3,High School,Blue Collar,22,57,34777.09,False,True
360,1937,Widowed,2,High School,Retired,0,63,1592.72,False,True
361,1970,Married,0,Associate,White Collar,22,65,74480.53,False,False
362,1994,Single,0,Bachelor,White Collar,12,88,49203.2,True,False
363,1997,Single,0,Bachelor,White Collar,12,84,72322.08,False,False
364,1981,Married,2,High School,Blue Collar,10,71,29024.95,True,True
365,1944,Widowed,2,High School,Retired,0,74,183.12,False,True
366,1996,Single,0,Bachelor,Professional,24,78,98070.93,True,False
367,1998,Married,0,Bachelor,Professional,24,76,104503.75,False,False
368,1968,Married,1,Bachelor,Professional,24,73,91621.39,True,False
369,1984,Married,0,Bachelor,White Collar,24,94,82994.4,False,True
370,2005,Married,1,Master,Student,0,87,12159.62,False,False
371,2004,Single,0,Master,Student,10,77,13534.21,False,False
372,1960,Married,4,Associate,White Collar,22,80,71189.96,False,False
373,2005,Single,0,High School,Student,0,89,9777.29,False,False
374,1988,Married,2,High School,Executive,32,80,200443.11,False,True
375,1992,Married,0,Bachelor,Executive,37,75,238753.08,False,True
376,1987,Single,0,Associate,Professional,24,73,93421.62,False,True
377,1954,Married,2,High School,Retired,0,60,244.3,False,True
378,1968,Widowed,3,High School,White Collar,22,75,71654.57,True,False
379,1956,Married,0,Master,Retired,10,65,1474.01,False,True
380,1982,Divorced,4,High School,Self-Employed,22,72,62307.26,True,False
381,2003,Single,0,Bachelor,Executive,32,86,191308.35,False,False
382,1993,Married,2,Master,White Collar,22,95,49874.38,True,True
383,1964,Divorced,1,Associate,White Collar,24,76,66095.57,False,True
384,1992,Single,0,High School,White Collar,22,77,74533.31,False,True
385,2003,Single,1,Bachelor,Professional,35,80,144094.95,False,False
386,1947,Widowed,0,Associate,Retired,10,80,814.95,False,True
387,1972,Married,3,High School,White Collar,12,78,79048.48,False,True
388,1951,Widowed,2,Associate,Retired,0,72,2951.88,False,False
389,1988,Divorced,0,High School,White Collar,32,80,63718.0,True,True
390,1978,Married,5,Bachelor,White Collar,12,61,75779.69,False,False
391,1940,Married,2,Master,Retired,0,71,3855.37,False,False
392,2002,Single,0,Associate,White Collar,12,71,59477.35,False,False
393,1977,Single,1,Master,Professional,22,79,133049.49,False,False
394,1983,Married,0,Associate,White Collar,22,69,66576.05,False,False
395,1987,Divorced,2,Master,White Collar,24,83,48374.87,False,True
396,1984,Single,0,Bachelor,Professional,32,75,77752.08,False,False
397,1943,Married,2,High School,Retired,0,57,2000.49,False,True
398,2002,Married,3,Master,Self-Employed,22,77,98964.02,False,False
399,1967,Divorced,4,Master,White Collar,22,95,81946.61,True,False
400,1999,Single,0,High School,White Collar,22,57,70108.6,True,False
401,2001,Married,0,Bachelor,White Collar,22,81,69774.35,False,False
402,1970,Married,2,High School,Blue Collar,24,63,35678.63,True,False
403,2004,Single,1,High School,Student,10,94,12335.17,False,True
404,1988,Married,2,High School,Executive,35,85,153774.1,False,True
405,1982,Married,2,Associate,Self-Employed,22,78,109718.58,True,True
406,1975,Married,2,High School,White Collar,22,84,56932.64,True,True
407,1958,Married,1,High School,Retired,0,74,3803.56,False,False
408,2000,Divorced,0,Master,White Collar,24,80,54140.96,True,True
409,1994,Single,0,Associate,Blue Collar,22,72,49400.19,True,False
410,1955,Married,5,Bachelor,Retired,12,67,2007.07,False,True
411,1976,Married,1,High School,Professional,24,70,78916.52,True,False
412,2007,Married,1,High School,Student,10,81,11913.11,False,True
413,1983,Married,4,Bachelor,Blue Collar,10,57,37092.06,False,False
414,1992,Single,0,Associate,White Collar,12,88,54278.98,False,True
415,2003,Single,0,Associate,Blue Collar,12,100,42333.87,False,True
416,1983,Married,1,Doctorate,Professional,35,72,124156.78,False,True
417,1975,Widowed,2,Associate,Self-Employed,32,86,71442.84,True,False
418,1955,Married,3,High School,Retired,10,69,1687.37,False,True
419,2005,Single,0,Associate,Student,0,74,8524.75,False,True
420,1950,Widowed,3,High School,Retired,10,66,1561.09,False,True
421,1959,Married,5,Bachelor,Retired,10,72,1839.63,False,True
422,1959,Married,1,High School,Retired,0,64,2519.13,False,True
423,2001,Single,0,High School,Blue Collar,10,86,40984.78,False,True
424,1955,Widowed,0,High School,Retired,0,65,733.31,False,True
425,1990,Single,0,Associate,Professional,24,67,116711.58,False,False
426,1985,Divorced,2,Bachelor,Executive,35,76,137016.87,False,True
427,1972,Married,0,Master,White Collar,32,67,63997.1,True,True
428,2004,Single,0,Bachelor,Student,10,77,13574.88,False,False
429,1992,Single,0,Associate,Self-Employed,22,77,92440.45,True,False
430,2005,Single,0,Master,Student,0,67,11115.45,False,False
